train_data_percentage,train_data_accuracy,dev_data_accuracy
0.05,0.8296795952782462,0.71960
0.10,0.8323504633529908,0.72476
0.15,0.8248175182481752,0.72708
0.20,0.8225263157894737,0.73208
0.25,0.8227762803234502,0.73368
0.30,0.8187815833801235,0.73792
0.35,0.8162897016361886,0.73852
0.40,0.8194736842105264,0.74204
0.45,0.8175182481751825,0.74276
0.50,0.8115209701869631,0.74172
0.55,0.8018680140866636,0.74588
0.60,0.8070175438596491,0.74100
0.65,0.8007255765742420,0.74484
0.70,0.7999879692011550,0.74576
0.75,0.7977206377722883,0.74684
0.80,0.7965789473684210,0.75076
0.85,0.7956009115228376,0.75144
0.90,0.7963413493028914,0.75100
0.95,0.7966492332240049,0.75312
1.00,0.7952421052631579,0.75336
