train_data_percentage,train_data_accuracy,test_data_accuracy
0.05,0.9097807757166948,0.78304
0.10,0.8875315922493682,0.81156
0.15,0.8728242560359348,0.83084
0.20,0.8654736842105263,0.82916
0.25,0.8637129380053908,0.83632
0.30,0.8634194272880404,0.83408
0.35,0.8600818094321463,0.83408
0.40,0.8570526315789474,0.83508
0.45,0.8558862062511697,0.83572
0.50,0.8540508674414687,0.83644
0.55,0.8528556116980555,0.83836
0.60,0.8541052631578947,0.84028
0.65,0.8557916558693962,0.84248
0.70,0.8562319538017324,0.84184
0.75,0.8560520997080620,0.84372
0.80,0.8536842105263158,0.84236
0.85,0.8538591102744476,0.84248
0.90,0.8537007579301956,0.84412
0.95,0.8533817923942912,0.84328
1.00,0.8524631578947368,0.84272
