train_data_percentage,train_data_accuracy,dev_data_accuracy
0.05,0.9477234401349073,0.78224
0.10,0.9267059814658803,0.80848
0.15,0.9112857944974734,0.82984
0.20,0.8947368421052632,0.83260
0.25,0.8933625336927223,0.83856
0.30,0.8889668725435149,0.83684
0.35,0.8846246390760346,0.83888
0.40,0.8780000000000000,0.83332
0.45,0.8753509264458169,0.83460
0.50,0.8722418729998316,0.83668
0.55,0.8650283264431174,0.83524
0.60,0.8652631578947368,0.83904
0.65,0.8640839595750195,0.83896
0.70,0.8627285851780558,0.84032
0.75,0.8598136088030541,0.83800
0.80,0.8584210526315790,0.83820
0.85,0.8598038244327751,0.84156
0.90,0.8610461308131374,0.84280
0.95,0.8618030316461307,0.84388
1.00,0.8608000000000000,0.84504
